Date,Remark,Value
1/1/2020,,1.3
1/2/2020,,1.5
1/3/2020,,1.9
1/4/2020,,0.8
1/5/2020,,0.5
1/6/2020,,0.7
1/7/2020,,1
1/8/2020,,1.3
1/9/2020,,1.8
1/10/2020,,2.8
1/11/2020,,2.8
1/12/2020,,1.8
1/13/2020,,1.4
1/14/2020,,1.3
1/15/2020,,1.6
1/16/2020,,2.4
1/17/2020,,8.2
1/18/2020,,11
1/19/2020,,5.8
1/20/2020,,6.4
1/21/2020,,11
1/22/2020,,20
1/23/2020,,23
1/24/2020,,16
1/25/2020,,11
1/26/2020,,8.9
1/27/2020,,8
1/28/2020,,7.6
1/29/2020,,8
1/30/2020,,12
1/31/2020,,14
2/1/2020,,11
2/2/2020,,8.6
2/3/2020,,6.4
2/4/2020,,5.1
2/5/2020,,4.5
2/6/2020,,3.9
2/10/2020,,6.9
2/11/2020,,7.1
2/12/2020,,6.6
2/13/2020,,6.3
2/14/2020,,6.1
2/15/2020,,12
2/16/2020,,14
2/17/2020,,14
2/18/2020,,12
2/19/2020,,10
2/20/2020,,14
2/22/2020,,27
2/23/2020,,24
2/24/2020,,17
2/25/2020,,13
2/26/2020,,11
2/27/2020,,9.6
2/28/2020,,9.2
2/29/2020,,8.2
3/1/2020,,7.6
3/2/2020,,3.69
3/3/2020,,6.4
3/4/2020,,6.2
3/5/2020,,8
3/6/2020,,11
3/7/2020,,12
3/8/2020,,13
3/9/2020,,13
3/10/2020,,12
3/11/2020,,11
3/12/2020,,10
3/13/2020,,10
3/14/2020,,8.7
3/15/2020,,8.9
3/16/2020,,13
3/17/2020,,14
3/18/2020,,12
3/19/2020,,11
3/20/2020,,9.2
3/21/2020,,7.7
3/22/2020,,7.5
3/23/2020,,11
3/24/2020,,12
3/25/2020,,11
3/26/2020,,13
3/27/2020,,13
3/28/2020,,12
3/29/2020,,11
3/30/2020,,10
3/31/2020,,10
4/1/2020,,14
4/2/2020,,18
4/3/2020,,17
4/4/2020,,16
4/5/2020,,18
4/6/2020,,18
4/7/2020,,17
4/8/2020,,16
4/9/2020,,15
4/10/2020,,16
4/11/2020,,17
4/12/2020,,16
4/13/2020,,13
4/14/2020,,11
4/15/2020,,11
4/16/2020,,16
4/17/2020,,16
4/18/2020,,12
4/19/2020,,11
4/20/2020,,11
4/21/2020,,11
4/22/2020,,11
4/23/2020,,12
4/24/2020,,11
4/25/2020,,9.4
4/26/2020,,9.1
4/27/2020,,9
4/28/2020,,9.3
4/29/2020,,9.4
4/30/2020,,8.3
5/1/2020,,8.6
5/2/2020,,9.4
5/3/2020,,11
5/4/2020,,11
5/5/2020,,11
5/6/2020,,12
5/7/2020,,17
5/8/2020,,17
5/9/2020,,15
5/10/2020,,18
5/11/2020,,18
5/12/2020,,18
5/13/2020,,18
5/14/2020,,17
5/15/2020,,17
5/16/2020,,18
5/17/2020,,21
5/18/2020,,19
5/19/2020,,16
5/20/2020,,17
